publication_year,variant,cs_works,ai_works,share,is_partial_year
1950,broad,3582,1617,0.451424,false
1950,strict,3582,1214,0.338917,false
1951,broad,3877,1799,0.464019,false
1951,strict,3877,1369,0.353108,false
1952,broad,4043,1875,0.463765,false
1952,strict,4043,1394,0.344793,false
1953,broad,4412,2013,0.456256,false
1953,strict,4412,1517,0.343835,false
1954,broad,4605,2132,0.462975,false
1954,strict,4605,1581,0.343322,false
1955,broad,4867,2219,0.455928,false
1955,strict,4867,1692,0.347647,false
1956,broad,5078,2286,0.450177,false
1956,strict,5078,1740,0.342655,false
1957,broad,5339,2397,0.44896,false
1957,strict,5339,1833,0.343323,false
1958,broad,5831,2563,0.439547,false
1958,strict,5831,1947,0.333905,false
1959,broad,6542,2899,0.443137,false
1959,strict,6542,2212,0.338123,false
1960,broad,7326,3181,0.434207,false
1960,strict,7326,2436,0.332514,false
1961,broad,7699,3302,0.428887,false
1961,strict,7699,2602,0.337966,false
1962,broad,8406,3520,0.418749,false
1962,strict,8406,2768,0.329289,false
1963,broad,9688,4141,0.427436,false
1963,strict,9688,3285,0.339079,false
1964,broad,10790,4446,0.412048,false
1964,strict,10790,3496,0.324004,false
1965,broad,11955,4958,0.414722,false
1965,strict,11955,3909,0.326976,false
1966,broad,12778,5138,0.402097,false
1966,strict,12778,4008,0.313664,false
1967,broad,14046,5671,0.403745,false
1967,strict,14046,4513,0.321301,false
1968,broad,15272,6292,0.411996,false
1968,strict,15272,4985,0.326414,false
1969,broad,17757,7027,0.395731,false
1969,strict,17757,5586,0.31458,false
1970,broad,21175,7997,0.377662,false
1970,strict,21175,6329,0.29889,false
1971,broad,19300,7570,0.392228,false
1971,strict,19300,5969,0.309275,false
1972,broad,20276,8038,0.396429,false
1972,strict,20276,6440,0.317617,false
1973,broad,21193,8362,0.394564,false
1973,strict,21193,6629,0.312792,false
1974,broad,22334,8791,0.393615,false
1974,strict,22334,7008,0.313782,false
1975,broad,24432,9653,0.395097,false
1975,strict,24432,7501,0.307015,false
1976,broad,24430,9296,0.380516,false
1976,strict,24430,7400,0.302906,false
1977,broad,26089,10287,0.394304,false
1977,strict,26089,8201,0.314347,false
1978,broad,27184,10750,0.395453,false
1978,strict,27184,8557,0.314781,false
1979,broad,28567,11186,0.391571,false
1979,strict,28567,8593,0.300802,false
1980,broad,30081,11865,0.394435,false
1980,strict,30081,9267,0.308068,false
1981,broad,31480,12127,0.385229,false
1981,strict,31480,9379,0.297935,false
1982,broad,33174,12440,0.374992,false
1982,strict,33174,9618,0.289926,false
1983,broad,36240,13925,0.384244,false
1983,strict,36240,10810,0.298289,false
1984,broad,38527,14402,0.373816,false
1984,strict,38527,11155,0.289537,false
1985,broad,41486,15408,0.371402,false
1985,strict,41486,11723,0.282577,false
1986,broad,46886,17751,0.378599,false
1986,strict,46886,13666,0.291473,false
1987,broad,50799,19665,0.387114,false
1987,strict,50799,15165,0.298529,false
1988,broad,55016,22019,0.400229,false
1988,strict,55016,16938,0.307874,false
1989,broad,59066,23762,0.402296,false
1989,strict,59066,18213,0.30835,false
1990,broad,65947,27565,0.417987,false
1990,strict,65947,21116,0.320197,false
1991,broad,70414,29617,0.420612,false
1991,strict,70414,22300,0.316698,false
1992,broad,75903,32041,0.422131,false
1992,strict,75903,23594,0.310844,false
1993,broad,81089,33946,0.418626,false
1993,strict,81089,25100,0.309536,false
1994,broad,85970,36335,0.422647,false
1994,strict,85970,26719,0.310794,false
1995,broad,90286,37074,0.410628,false
1995,strict,90286,26840,0.297278,false
1996,broad,98780,40779,0.412826,false
1996,strict,98780,29079,0.294381,false
1997,broad,102784,41465,0.403419,false
1997,strict,102784,29834,0.290259,false
1998,broad,109483,44568,0.407077,false
1998,strict,109483,31640,0.288995,false
1999,broad,118462,47442,0.400483,false
1999,strict,118462,33788,0.285222,false
2000,broad,142305,56315,0.395735,false
2000,strict,142305,41426,0.291107,false
2001,broad,154054,60538,0.392966,false
2001,strict,154054,44369,0.288009,false
2002,broad,293993,113177,0.384965,false
2002,strict,293993,73536,0.250128,false
2003,broad,258702,97826,0.378142,false
2003,strict,258702,67001,0.258989,false
2004,broad,269768,101398,0.375871,false
2004,strict,269768,70696,0.262062,false
2005,broad,318829,121126,0.379909,false
2005,strict,318829,82332,0.258232,false
2006,broad,349154,131835,0.377584,false
2006,strict,349154,89669,0.256818,false
2007,broad,368188,137487,0.373415,false
2007,strict,368188,93786,0.254723,false
2008,broad,393475,143835,0.365551,false
2008,strict,393475,97676,0.248239,false
2009,broad,432741,155630,0.359638,false
2009,strict,432741,103999,0.240326,false
2010,broad,467029,166059,0.355565,false
2010,strict,467029,110648,0.236919,false
2011,broad,497744,171797,0.345151,false
2011,strict,497744,113561,0.228151,false
2012,broad,507914,176708,0.347909,false
2012,strict,507914,116925,0.230206,false
2013,broad,521918,181936,0.348591,false
2013,strict,521918,119267,0.228517,false
2014,broad,534580,187256,0.350286,false
2014,strict,534580,123055,0.23019,false
2015,broad,545880,189300,0.34678,false
2015,strict,545880,122837,0.225026,false
2016,broad,558634,198923,0.356088,false
2016,strict,558634,132883,0.237871,false
2017,broad,561217,204035,0.363558,false
2017,strict,561217,135444,0.24134,false
2018,broad,602587,226550,0.375962,false
